city,id
Albany,1
Albuquerque,2
Allentown,3
Amarillo,4
Asheville,5
Ashland,6
Aspen,7
Atlanta,8
Atlantic City,9
Austin,10
Baton Rouge,11
Belleville,12
Bend,13
Birmingham,14
Boise,15
Boston,16
Bozeman,17
Buffalo,18
Burlington,19
Charleston,20
Charlotte,21
Chicago,22
Cincinnati,23
Cleveland,24
Colorado Springs,25
Columbia,26
Columbus,27
Concord,28
Corpus Christi,29
Dallas,30
Dayton,31
Denver,32
Des Moines,33
Detroit,34
Eagle,35
El Paso,36
Eugene,37
Everett,38
Farmington,39
Fayetteville,40
Flint,41
Fort Collins,42
Fort Myers,43
Fresno,44
Grand Rapids,45
Greensboro,46
Greenville,47
Gulfport,48
Harlingen,49
Harrisburg,50
Hartford,51
Houston,52
Huntsville,53
Idaho Falls,54
Indianapolis,55
Jackson,56
Jacksonville,57
Kansas City,58
Key West,59
Knoxville,60
Las Vegas,61
Latrobe,62
Lexington,63
Lincoln,64
Little Rock,65
Los Angeles,66
Louisville,67
Lubbock,68
Madison,69
Medford,70
Memphis,71
Miami,72
Midland,73
Milwaukee,74
Minneapolis,75
Mission,76
Montrose,77
Myrtle Beach,78
Nashville,79
New Orleans,80
New York,81
Norfolk,82
Oklahoma City,83
Omaha,84
Orlando,85
Palm Springs,86
Panama City,87
Pasco,88
Pensacola,89
Philadelphia,90
Phoenix,91
Pittsburgh,92
Portland,93
Portsmouth,94
Provo,95
Raleigh,96
Reno,97
Richmond,98
Rochester,99
Sacramento,100
Salinas,101
Salt Lake City,102
San Antonio,103
San Diego,104
San Francisco,105
Sanford,106
Santa Barbara,107
Santa Rosa,108
Sarasota,109
Savannah,110
Seattle,111
Spokane,112
St. Louis,113
Stockton,114
Syracuse,115
Tallahassee,116
Tampa,117
Traverse City,118
Trenton,119
Tucson,120
Tulsa,121
Valparaiso,122
Washington,123
West Palm Beach,124
Wichita,125
